hitparada,rok,mesic,week,pozice,album,interpret,interpret_hlavni,vydavatel
CZ - ALBUMS - TOP 100,2006,05,,1,Divokej Bill,Divokej Bill,Divokej Bill,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,2,Stadium Arcadium,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,3,Asi se něco děje,Ready Kirken,Ready Kirken,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,4,Pearl Jam,Pearl Jam,Pearl Jam,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,5,Schrei,Tokio Hotel,Tokio Hotel,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,6,Best Of 1988-2005,Pavol Habera & Team,Pavol Habera,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,7,Ready To Roll,Helena Zeťová,Helena Zeťová,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,8,Boomerang,Lucie Vondráčková,Lucie Vondráčková,Tr
CZ - ALBUMS - TOP 100,2006,05,,9,Čím to je?!,No Name,No Name,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,10,Album,Petr Kolář,Petr Kolář,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,11,Poprvé naposledy,Michal Prokop,Michal Prokop,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,12,Best Of,Michal Tučný,Michal Tučný,Supraphon
CZ - ALBUMS - TOP 100,2006,05,,13,Divadlo snů,Aleš Brichta,Aleš Brichta,Pm
CZ - ALBUMS - TOP 100,2006,05,,14,Love Generation,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,15,On an Island,David Gilmour,David Gilmour,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,16,44 slavných písniček,Nedvědi,Nedvědi,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,17,Barvy domova,Redl/Janoušek/Lenk,Redl,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,18,Lucerna,Divokej Bill,Divokej Bill,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,19,Taneční liga 88,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,20,Mezi světy,Lenka Dusilová,Lenka Dusilová,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,21,PCD,Pussycat Dolls,Pussycat Dolls,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,22,Stereo,Priessnitz,Priessnitz,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,23,Rafťáci   O.S.T.,Různí,Různí,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,24,Labyrint,Arakain,Arakain,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,25,45 let českého folku,Spirituál Kvintet,Spirituál Kvintet,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,26,Village Lanterne,Blackmore'S Night,Blackmore'S Night,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,27,2nd,4Tet,4Tet,Am
CZ - ALBUMS - TOP 100,2006,05,,28,Contra Factum,Gába Al Dhaba,Gába Al Dhaba,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,29,Šuplíky (Mé nejlepší písně),Karel Kryl,Karel Kryl,Supraphon
CZ - ALBUMS - TOP 100,2006,05,,30,20 let naživu,Tři Sestry,Tři Sestry,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,31,Bravo Hits 2006/1,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,32,Movie Bar + DVD,Chinaski,Chinaski,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,33,Confessions on a Dance Floor,Madonna,Madonna,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,34,Deň medzi nedeĺou a pondelkom,Peha,Peha,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,35,Western Dream,Bob Sinclar,Bob Sinclar,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,36,"10,000 Days",Tool,Tool,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,37,Best Of/Song!Song!,Jana Kratochvílová,Jana Kratochvílová,Supraphon
CZ - ALBUMS - TOP 100,2006,05,,38,Monkey Business,Black Eyed Peas,Black Eyed Peas,Universal Music
CZ - ALBUMS - TOP 100,2006,05,,39,"Ještě že tě, lásko mám",Různí,Různí,Supraphon
CZ - ALBUMS - TOP 100,2006,05,,40,1st,4Tet,4Tet,Am
CZ - ALBUMS - TOP 100,2006,05,,41,Kdo neskáče není Čech,Různí,Různí,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,42,I´m Not Dead,P!Nk,P!Nk,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,43,Retropicture - Live,Dan Bárta,Dan Bárta,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,44,Koa,Koa,Koa,Ir
CZ - ALBUMS - TOP 100,2006,05,,45,Jsem prý blázen jen,Jiří Schelinger,Jiří Schelinger,Supraphon
CZ - ALBUMS - TOP 100,2006,05,,46,Meds,Placebo,Placebo,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,47,Koncert,Lucie Bílá,Lucie Bílá,Warner Music
CZ - ALBUMS - TOP 100,2006,05,,48,Největší italské hity 3,Damichi,Damichi,Sony Music
CZ - ALBUMS - TOP 100,2006,05,,49,Principal,Petr Kotvald,Petr Kotvald,Pm
CZ - ALBUMS - TOP 100,2006,05,,50,Orchidej,Tereza Kerndlová,Tereza Kerndlová,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,1,EvoLucie,Lucie,Lucie,Brainzone
CZ - ALBUMS - TOP 100,2018,11,,2,Origins,Imagine Dragons,Imagine Dragons,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,3,Bohemian Rhapsody O.S.T.,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,4,A Star Is Born,Lady Gaga & Bradley Cooper,Lady Gaga,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,5,Růže,Lucie Vondráčková,Lucie Vondráčková,Sagl Production
CZ - ALBUMS - TOP 100,2018,11,,6,Greatest Hits (Remastered),Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,7,÷ (Divide),Ed Sheeran,Ed Sheeran,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,8,Diamant,Lvcas Dope & Dj Wich,Lvcas Dope,Fck Them
CZ - ALBUMS - TOP 100,2018,11,,9,Muzikál,Marián Vojtko,Marián Vojtko,Popron Music
CZ - ALBUMS - TOP 100,2018,11,,10,"Come Over When You're Sober, Pt. 2",Lil Peep,Lil Peep,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,11,Evolve,Imagine Dragons,Imagine Dragons,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,12,Kamikaze,Eminem,Eminem,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,13,Oppidum,Lenka Filipová,Lenka Filipová,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,14,Effet Miroir,Zaz,Zaz,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,15,Svobodu ředkvičkám,Tři Sestry,Tři Sestry,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,16,Spolu,Tomáš Klus,Tomáš Klus,Tomáš Klus / Supraphon
CZ - ALBUMS - TOP 100,2018,11,,17,Trench,Twenty One Pilots,Twenty One Pilots,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,18,Miss maringotka,Wohnout,Wohnout,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,19,Muž s bílým psem,Radůza,Radůza,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,20,Já nemám strach,Hana Zagorová,Hana Zagorová,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,21,?,Xxxtentacion,Xxxtentacion,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,22,Down The Road Wherever,Mark Knopfler,Mark Knopfler,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,23,Bad Time For Gentlemen,Monkey Business,Monkey Business,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,24,7,David Guetta,David Guetta,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,25,Double Album,Miro Žbirka,Miro Žbirka,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,26,Simulation Theory,Muse,Muse,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,27,Ta pravá,Karel Gott,Karel Gott,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,28,7,Nik Tendo,Nik Tendo,Milion+ Ent./Universal Music
CZ - ALBUMS - TOP 100,2018,11,,29,beerbongs & bentleys,Post Malone,Post Malone,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,30,Hallelujah (Vánoční písně a koledy),Martin Chodúr,Martin Chodúr,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,31,Sexy exity,Xindl X,Xindl X,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,32,Já ti zabrnkám / Balady,Václav Neckář,Václav Neckář,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,33,Si,Andrea Bocelli,Andrea Bocelli,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,34,Platinum Collection,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,35,Alfa,Ektor,Ektor,Detektor/Universal Music
CZ - ALBUMS - TOP 100,2018,11,,36,Sbohem Roxano,Yzomandias,Yzomandias,Milion+ Ent
CZ - ALBUMS - TOP 100,2018,11,,37,25,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - ALBUMS - TOP 100,2018,11,,38,ZG,Deethane,Deethane,Championship Music
CZ - ALBUMS - TOP 100,2018,11,,39,Best Of (1993-2007),Anna K.,Anna K.,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,40,Konnichiwa,Mirai,Mirai,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,41,Red Pill Blues,Maroon 5,Maroon 5,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,42,Součást,Pavel Callta,Pavel Callta,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,43,LM5,Little Mix,Little Mix,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,44,Sweetener,Ariana Grande,Ariana Grande,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,45,Barvy,Marta Jandová,Marta Jandová,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,46,Nadechnutí,Čechomor,Čechomor,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,47,Jubilejní edice (1968/2018),Matadors,Matadors,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,48,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,49,Dua Lipa,Dua Lipa,Dua Lipa,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,50,Happy Xmas,Eric Clapton,Eric Clapton,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,51,Memories...Do Not Open,Chainsmokers,Chainsmokers,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,52,Poruba,Jaromír Nohavica,Jaromír Nohavica,Petarda Production
CZ - ALBUMS - TOP 100,2018,11,,53,Trilobit,Olympic,Olympic,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,54,Lady Soul,Marie Rottrová,Marie Rottrová,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,55,Precedens,Ego,Ego,Ego
CZ - ALBUMS - TOP 100,2018,11,,56,Dionysus,Dead Can Dance,Dead Can Dance,Mystic Production
CZ - ALBUMS - TOP 100,2018,11,,57,No Tourists,Prodigy,Prodigy,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,58,Egypt Station,Paul Mccartney,Paul Mccartney,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,59,Tereza Mašková (Vítěz Superstar 2018),Tereza Mašková,Tereza Mašková,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,60,Dead Man Walking,Marpo,Marpo,Sherwood Digital
CZ - ALBUMS - TOP 100,2018,11,,61,Camila,Camila Cabello,Camila Cabello,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,62,Není nám do pláče,Chinaski,Chinaski,Brainzone
CZ - ALBUMS - TOP 100,2018,11,,63,Scorpion,Drake,Drake,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,64,ASTROWORLD,Travis Scott,Travis Scott,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,65,White Album,Beatles,Beatles,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,66,Forever,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,67,Alba a bonusy 1984-1990,Karel Plíhal,Karel Plíhal,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,68,Černý racek / To nejlepší,Oldřich Veselý,Oldřich Veselý,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,69,Best Of   +DVD,Lucie,Lucie,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,70,love,Michael Bublé,Michael Bublé,Warner Music
