,hitparada,rok,mesic,pozice,track,interpret,interpret_hlavni,vydavatel
253669,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,1,Katarze,Slza,Slza,Universal Music
253670,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,2,Ty a já,Kryštof,Kryštof,I.richmond.p./universal Music
253671,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,3,Celibát,Slza,Slza,Universal Music
253672,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,4,Etikety,Slza,Slza,Universal Music
253673,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,5,Vstříc nekonečnům,Slza,Slza,Universal Music
253674,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,6,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
253675,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,7,Pozice off,Slza,Slza,Universal Music
253676,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,8,Lhůta záruční,Slza,Slza,Universal Music
253677,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,9,Atrakce,Slza,Slza,Universal Music
253678,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,10,Fáze pád,Slza,Slza,Universal Music
253679,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,11,Primetime,Majk Spirit,Majk Spirit,Nan
253680,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,12,V dešti zášti,Slza,Slza,Universal Music
253681,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,13,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
253682,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,14,Pouta,Slza,Slza,Universal Music
253683,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,15,All My Friends,Snakehips,Snakehips,Sony Music
253684,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,16,Me & The Rythm,Selena Gomez,Selena Gomez,Universal Music
253685,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,17,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
253686,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,18,Každý ráno,Chinaski,Chinaski,Brainzone
253687,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,19,Brouci,Mandrage,Mandrage,Universal Music
253688,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,20,Toulavá,Sebastian,Sebastian,Warner Music
253689,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,21,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
253690,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,22,Záchranný bod,Sebastian,Sebastian,Warner Music
253691,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,23,Srdcebeat,Kryštof,Kryštof,I.richmond.p./universal Music
253692,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,24,V blbým věku,Xindl X,Xindl X,Universal Music
253693,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,25,Terapeut,Pavel Callta,Pavel Callta,Warner Music
253694,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,26,Víno,Chinaski,Chinaski,Brainzone
253695,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,27,Jaguár na krku,Mandrage,Mandrage,Universal Music
253696,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,28,Travolta,Mandrage,Mandrage,Universal Music
253697,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,29,Cesta z města,Mirai,Mirai,Universal Music
253698,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,30,Boomerang,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
253699,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,31,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
253700,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,32,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
253701,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,33,Sonda,Tata Bojs,Tata Bojs,Supraphon
253702,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,34,Polety,Atmo Music,Atmo Music,Warner Music
253703,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,35,Ona se smála,Mandrage,Mandrage,Universal Music
253704,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,36,Marmeláda,Mandrage,Mandrage,Universal Music
253705,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,37,Všechno je trapný,Mandrage,Mandrage,Universal Music
253706,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,38,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
253707,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,39,Láska & hvězdy,Chinaski,Chinaski,Brainzone
253708,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,40,Peníze,Ektor & Rytmus,Ektor,Nan
253709,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,41,Let It Go,James Bay,James Bay,Universal Music
253710,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,42,Je mi to líto,Mandrage,Mandrage,Universal Music
253711,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,43,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/universal Music
253712,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,44,Pláštěnky,Nebe,Nebe,Universal Music
253713,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,45,Křídla z mýdla,Kryštof/jaromír Nohavica,Kryštof,Universal Music
253714,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,46,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
253715,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,47,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
253716,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,48,GenerácYa,Majk Spirit,Majk Spirit,Nan
253717,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,49,Potmě jsou všechny kočky černý,Mandrage,Mandrage,Universal Music
253718,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,50,Nemůžu si dovolit,Ben Cristovao,Ben Cristovao,Championship Music
253919,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,1,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
253920,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,2,Ty a já,Kryštof,Kryštof,I.richmond.p./universal Music
253921,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,3,Celibát,Slza,Slza,Universal Music
253922,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,4,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
253923,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,5,Katarze,Slza,Slza,Universal Music
253924,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,6,Primetime,Majk Spirit,Majk Spirit,Nan
253925,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,7,Vánoční,Johny Machette & Teri Blitzen,Johny Machette,Championship Music
253926,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,8,Vstříc nekonečnům,Slza,Slza,Universal Music
253927,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,9,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
253928,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,10,Toulavá,Sebastian,Sebastian,Warner Music
253929,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,11,Boomerang,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
253930,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,12,Etikety,Slza,Slza,Universal Music
253931,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,13,Ona se smála,Mandrage,Mandrage,Universal Music
